relatedTo	arg1 is related to arg2	arg1 is somehow {related to} arg2
subpartOf	arg1 is a subpart of arg2	arg1 is a {subpart} of arg2
specializationOf	arg1 is a kind of arg2	arg1 is a {kind of} arg2
mutualProxyFor	arg1 is a mutual proxy for arg2	arg1 and arg2 are {proxies} for eachother
proxyFor	arg1 is a proxy for arg2	arg1 is a {proxy} for arg2
agentControls	arg1 controls arg2	arg1 {controls} arg2
agentInteractsWithAgent	arg1 interacts with arg2	arg1 {interacts} with arg2
agentCollaboratesWithAgent	arg1 collaborates with arg2	arg1 {collaborates} with arg2
agentHierarchicallyAboveAgent	arg1 is hierarchically above arg2	arg1 is hierarchically {above} arg2
agentBelongsToOrganization	arg1 belongs to arg2	arg1 is an organization {belonging} to arg2
subpartOfOrganization	arg1 is a subpart of arg2	arg1 is a {subpart} of the organization arg2
agentContributedToCreativeWork	arg1 contributed to arg2	arg1 {contributed to} the creative work arg2
worksFor	arg1 works for arg2	arg1 {works for} arg2
acquired	arg1 acquired arg2	arg1 has {acquired} arg2
actorStarredInMovie	arg1 starred in arg2	arg1 {starred in} the movie arg2
directorDirectedMovie	arg1 directed arg2	arg1 {directed} the movie arg2
athleteCoach	arg1 is coached by arg2	arg1 is an athlete {coached by} arg2
athleteHomeStadium	arg1 has the home stadium arg2	the {home stadium of} arg1 is arg2
athletePlaysForTeam	arg1 plays for arg2	arg1 {plays for} the team arg2
athletePlaysInLeague	arg1 plays in arg2	arg1 {plays} in the league arg2
athletePlaysSport	arg1 plays arg2	arg1 {plays} the sport arg2
buildingLocatedInCity	arg1 is located in arg2	arg1 is a building {located in} the city arg2
ceoOf	arg1 is the CEO of arg2	arg1 is the {CEO of} arg2
cityLocatedInGeopoliticalLocation	arg1 is located in arg2	arg1 is a city {locatd in} the geopolitical location arg2
stateLocatedInGeopoliticalLocation	arg1 is located in arg2	arg1 is a state or province {located in} the geopolitical location arg2
countryLocatedInGeopoliticalLocation	arg1 is located in arg2	arg1 is a country {located in} the geopolitical location arg2
cityCapitalOfCountry	arg1 is the capital of arg2	arg1 is the {capital city of} the country arg2
cityLocatedInCountry	arg1 is located in arg2	arg1 is a city {located in} the country arg2
cityLocatedInState	arg1 is located in arg2	arg1 is a city {located in} the state or province arg2
coachesInLeague	arg1 coaches in arg2	arg1 {coaches} in the league arg2
coachesTeam	arg1 coaches arg2	arg1 {coaches} the team arg2
coachWonTrophy	arg1 won arg2	the coach arg1 {won} the trophy or tournament arg2
companyEconomicSector	arg1 is in the economic sector of arg2	arg1 is a company {in the economic sector of} arg2
competesWith	arg1 competes with arg2	the companies arg1 and arg2 {compete with} eachother
countryCurrency	arg1 uses the currency arg2	the country arg1 {uses the currency} arg2
dateOfEvent	arg2 happened on arg1	arg2 {happened on} the date arg1
eventDate	arg1 happened on arg2	arg1 {happened on} the date arg2
hasOfficeInCity	arg1 has an office in arg2	arg1 is a company that {has an office in} the city arg2
hasOfficeInCountry	arg1 has an office in arg2	arg1 is a company that {has an office in} the country arg2
headquarteredIn	arg1 is headquartered in arg2	arg1 is a company {headquartered in} the city arg2
journalistWritesForPublication	arg1 writes for arg2	arg1 is a journalist that {writes for} the publication arg2
personLeadsGeopoliticalOrganization	arg1 leads the organization arg2	arg1 {leads} the geopolitical organization arg2
personLeadsCity	arg1 is the leader of the city arg2	arg1 is the {leader of} the city arg2
personLeadsCountry	arg1 is the leader of the country arg2	arg1 is the {leader of} the country arg2
leagueStadiums	arg1 uses the venue arg2	the sports leage arg1 {uses} the venue arg2
mlAreaExpert	arg2 is an expert in arg1	arg2 is an {expert in} the machine-learning area of arg1
mlAuthorOfSoftware	arg1 wrote the software arg2	arg1 is a machine-learning author who {wrote} the software arg2
musicianPlaysInstrument	arg1 plays the instrument arg2	arg1 is a musician who {plays} the arg2
musicArtistGenre	arg1 is in the genre arg2	arg1 is a musician in the {genre} arg2
musicianInMusicArtist	arg1 is part of arg2	arg1 is a musician who is {part of} arg2
newspaperInCity	arg1 is a newspaper in arg2	arg1 is a newspaper {in the city} arg2
personWrittenAboutInPublication	arg1 was written about in arg2	arg1 is a person who was {written about in} arg2
politicianHoldsOffice	arg1 holds the office of arg2	arg1 is a politician who {holds the office of} arg2
producesProduct	arg1 produces arg2	arg1 is a company that {produces} arg2
producesProductType	arg2 is produced by arg1	arg2 is the kind of product {produced by} the company arg1
productInstanceOf	arg1 is a kind of arg2	arg1 is a product that is a {kind of} arg2
radioStationInCity	arg1 is located in arg2	arg1 is a radio station {in the city} arg2
sportsGameAwayTeam	arg2 was the away team in arg1	arg2 was the {away team in} arg1
